method,condition,seed,attack_level,total_reward,success,final_distance,episode_length,action_smoothness,action_magnitude,safety_violation,recovery_used,episode_idx
rule_based,goal_spoof_immediate,0,0.1,-50.0,0.0,0.0650020385171004,50,0.0112297488376498,0.0670951530337333,0.0,0.0,8
rule_based_recovery,goal_spoof_immediate,0,0.1,-47.0,1.0,0.1262729810149833,50,0.0357745662331581,0.1690612733364105,0.0,1.0,8
rule_based,goal_spoof_immediate,0,0.1,-13.0,1.0,0.0461551563345299,50,0.0113088302314281,0.0704360231757164,0.0,0.0,9
rule_based_recovery,goal_spoof_immediate,0,0.1,-50.0,0.0,0.0927013137973025,50,0.0041370405815541,0.0268076062202453,0.0,0.0,9
rule_based,goal_spoof_midep,0,0.1,-6.0,1.0,0.049230402748841,50,0.023464847356081,0.1302685141563415,0.0,0.0,0
rule_based_recovery,goal_spoof_midep,0,0.1,-34.0,1.0,0.0990590132148439,50,0.0330303236842155,0.1571836769580841,0.0,0.0,0
rule_based,goal_spoof_midep,0,0.1,-34.0,1.0,0.1421822613830933,50,0.0463113747537136,0.1905218362808227,0.0,0.0,1
rule_based_recovery,goal_spoof_midep,0,0.1,-23.0,1.0,0.0651867398705646,50,0.0359975695610046,0.3557412624359131,0.0,0.0,1
rule_based,goal_spoof_midep,0,0.1,-33.0,1.0,0.1183754136516307,50,0.0379552096128463,0.1754917949438095,0.0,0.0,2
rule_based_recovery,goal_spoof_midep,0,0.1,-32.0,1.0,0.1085484506982102,50,0.0353710129857063,0.1502091437578201,0.0,0.0,2
rule_based,goal_spoof_midep,0,0.1,-32.0,1.0,0.0899465690876011,50,0.03580779209733,0.1834996789693832,0.0,0.0,3
rule_based_recovery,goal_spoof_midep,0,0.1,-32.0,1.0,0.0975436949524493,50,0.0369371250271797,0.1618868112564087,0.0,0.0,3
rule_based,goal_spoof_midep,0,0.1,-31.0,1.0,0.073449773075463,50,0.0342721231281757,0.1733984798192978,0.0,0.0,4
rule_based_recovery,goal_spoof_midep,0,0.1,-34.0,1.0,0.1013628725116516,50,0.0433643795549869,0.2631967663764953,0.0,0.0,4
rule_based,goal_spoof_midep,0,0.1,-31.0,1.0,0.0924046257457706,50,0.031898345798254,0.1351706385612487,0.0,0.0,5
rule_based_recovery,goal_spoof_midep,0,0.1,-5.0,1.0,0.0449928493610637,50,0.0218858309090137,0.1031294167041778,0.0,0.0,5
rule_based,goal_spoof_midep,0,0.1,-10.0,1.0,0.0507426220721424,50,0.01650314591825,0.0670443624258041,0.0,0.0,6
rule_based_recovery,goal_spoof_midep,0,0.1,-28.0,1.0,0.1104142560833251,50,0.0287107732146978,0.1032084003090858,0.0,0.0,6
rule_based,goal_spoof_midep,0,0.1,-33.0,1.0,0.1018657575869127,50,0.0354505479335784,0.1495668292045593,0.0,0.0,7
rule_based_recovery,goal_spoof_midep,0,0.1,-26.0,1.0,0.058632678869531,50,0.0270159505307674,0.1267619132995605,0.0,0.0,7
rule_based,goal_spoof_midep,0,0.1,-23.0,1.0,0.0544450467837726,50,0.0272058062255382,0.1281933337450027,0.0,0.0,8
rule_based_recovery,goal_spoof_midep,0,0.1,-32.0,1.0,0.0860279627960085,50,0.0336445197463035,0.1469719111919403,0.0,0.0,8
rule_based,goal_spoof_midep,0,0.1,-33.0,1.0,0.1197703187245841,50,0.0373909212648868,0.1523933559656143,0.0,0.0,9
rule_based_recovery,goal_spoof_midep,0,0.1,-32.0,1.0,0.1012928422811012,50,0.0335698649287223,0.1385593265295028,0.0,0.0,9
sac_her,sensor_dropout,0,0.0,-50.0,0.0,0.9211572640263966,50,0.0159162785857915,1.751659274101257,1.0,0.0,0
sac_her_recovery,sensor_dropout,0,0.0,-50.0,0.0,0.8449703082411592,50,0.0243044942617416,0.9860296845436096,1.0,1.0,0
sac_her,sensor_dropout,0,0.0,-50.0,0.0,0.8423623073733354,50,0.0108770998194813,1.8540326356887815,1.0,0.0,1
sac_her_recovery,sensor_dropout,0,0.0,-50.0,0.0,0.7449661943209346,50,0.022178366780281,1.0369794368743896,1.0,1.0,1
sac_her,sensor_dropout,0,0.0,-50.0,0.0,0.9161341848058174,50,0.0159778092056512,1.8071234226226809,1.0,0.0,2
sac_her_recovery,sensor_dropout,0,0.0,-50.0,0.0,0.778680213052393,50,0.021423365920782,0.9564130306243896,1.0,1.0,2
sac_her,sensor_dropout,0,0.0,-50.0,0.0,0.9409876021442684,50,0.0178391709923744,1.7770071029663086,1.0,0.0,3
sac_her_recovery,sensor_dropout,0,0.0,-50.0,0.0,0.8125545455740398,50,0.0216695945709943,0.928566575050354,1.0,1.0,3
sac_her,sensor_dropout,0,0.0,-50.0,0.0,0.8234086296173765,50,0.0136262774467468,1.8652993440628052,1.0,0.0,4
sac_her_recovery,sensor_dropout,0,0.0,-50.0,0.0,0.6650002698990811,50,0.0237248670309782,1.0486266613006592,1.0,1.0,4
sac_her,sensor_dropout,0,0.0,-50.0,0.0,0.8420568546427594,50,0.009776591323316,1.892797350883484,1.0,0.0,5
sac_her_recovery,sensor_dropout,0,0.0,-50.0,0.0,0.6863112387668784,50,0.02277716062963,1.0655908584594729,1.0,1.0,5
sac_her,sensor_dropout,0,0.0,-50.0,0.0,0.9222727446961284,50,0.013020877726376,1.8124287128448489,1.0,0.0,6
sac_her_recovery,sensor_dropout,0,0.0,-50.0,0.0,0.8149342636029763,50,0.0222429782152175,1.0057704448699951,1.0,1.0,6
sac_her,sensor_dropout,0,0.0,-50.0,0.0,0.7902399902766531,50,0.009897175244987,1.876115083694458,1.0,0.0,7
sac_her_recovery,sensor_dropout,0,0.0,-50.0,0.0,0.6289680410759914,50,0.0222182907164096,1.0610195398330688,1.0,1.0,7
sac_her,sensor_dropout,0,0.0,-50.0,0.0,0.8427067301542134,50,0.0088680395856499,1.8707655668258667,1.0,0.0,8
sac_her_recovery,sensor_dropout,0,0.0,-50.0,0.0,0.7244563821732105,50,0.0213928297162055,1.031726956367493,1.0,1.0,8
sac_her,sensor_dropout,0,0.0,-50.0,0.0,0.905313673425948,50,0.0125600406900048,1.8595166206359863,1.0,0.0,9
sac_her_recovery,sensor_dropout,0,0.0,-50.0,0.0,0.771761173320408,50,0.0225347727537155,1.020461082458496,1.0,1.0,9
sac_her,sensor_bias,0,0.1,-2.0,1.0,0.0435576099099027,50,0.0441053695976734,0.7405940294265747,1.0,0.0,0
sac_her_recovery,sensor_bias,0,0.1,-50.0,0.0,0.2929122314257996,50,0.0525176264345645,0.8288555145263672,1.0,1.0,0
sac_her,sensor_bias,0,0.1,-50.0,0.0,0.1495782297594403,50,0.0638745874166488,0.1999315768480301,1.0,0.0,1
