method,condition,attack_level,success_rate,avg_reward,final_distance,avg_episode_length,action_smoothness,action_magnitude,safety_violation_rate,recovery_rate,n_seeds,reliability_score,robustness_score,cyber_resilience_score,safety_score,recovery_score,trustworthiness_score_equal,trustworthiness_score_weighted,trustworthiness_score
rule_based_recovery,goal_spoof_midep,0.1,1.0,-26.2,0.0813454466040633,50.0,0.0314453627293308,0.1625965853532155,0.0,0.0,30,1.0,0.9362024155621878,1.0,1.0,0.0,0.7872404831124377,0.6872404831124376,0.6872404831124376
rule_based_recovery,sensor_bias,0.1,1.0,-5.233333333333333,0.0027702568189493,50.0,0.0147207494359462,0.0972833077112833,0.0,0.0,30,1.0,0.9943209490228352,1.0,1.0,0.0,0.7988641898045672,0.6988641898045671,0.6988641898045671
rule_based_recovery,sensor_dropout,0.0,1.0,-5.233333333333333,0.0027702568189493,50.0,0.0147207494359462,0.0972833077112833,0.0,0.0,30,1.0,0.9943209490228352,1.0,1.0,0.0,0.7988641898045672,0.6988641898045671,0.6988641898045671
sac_her,goal_spoof_immediate,0.1,0.2333333333333333,-46.5,0.0894795074403609,50.0,0.0485217257092396,0.4136108309030533,0.8333333333333334,0.0,30,0.2333333333333333,0.92624416261306,0.2333333333333333,0.1666666666666666,0.0,0.3119154991892787,0.2919154991892787,0.2919154991892787
sac_her,goal_spoof_midep,0.1,1.0,-27.033333333333335,0.0941983201719511,50.0,0.112239480515321,0.4439268271128336,0.8666666666666667,0.0,30,1.0,0.9066439783015046,1.0,0.1333333333333333,0.0,0.6079954623269677,0.5513287956603009,0.5513287956603009
sac_her,sensor_bias,0.1,0.3,-45.4,0.1829612134872699,50.0,0.0530808314681052,0.6668807412187259,0.9,0.0,30,0.3,0.8610400818519908,0.3,0.0999999999999999,0.0,0.3122080163703982,0.2922080163703981,0.2922080163703981
sac_her,sensor_dropout,0.0,0.0333333333333333,-49.96666666666667,0.8759402723472308,50.0,0.0127204906505842,1.836780273914337,1.0,0.0,30,0.0333333333333333,0.3967323436803614,0.0333333333333333,0.0,0.0,0.0926798020694056,0.0910131354027389,0.0910131354027389
sac_her_recovery,goal_spoof_immediate,0.1,0.3,-44.9,0.1002589167676477,50.0,0.0490256150563557,0.4902556044360001,0.8,0.2,30,0.3,0.9187310623486998,0.3,0.1999999999999999,0.2,0.3837462124697399,0.3787462124697399,0.3787462124697399
sac_her_recovery,goal_spoof_midep,0.1,1.0,-26.5,0.0898232976126789,50.0,0.1110481411218642,0.4569622814655304,1.0,0.0,30,1.0,0.9099468062494492,1.0,0.0,0.0,0.5819893612498899,0.5319893612498898,0.5319893612498898
sac_her_recovery,sensor_bias,0.1,0.2,-46.43333333333333,0.1777456388124184,50.0,0.050694399451216,0.4899217014511426,0.8666666666666667,0.3,30,0.2,0.8652256666439704,0.2,0.1333333333333333,0.3,0.3397117999954607,0.353045133328794,0.353045133328794
