method,condition,attack_level,success_rate,avg_reward,final_distance,avg_episode_length,action_smoothness,action_magnitude,safety_violation_rate,recovery_rate,n_seeds,reliability_score,robustness_score,cyber_resilience_score,safety_score,recovery_score,trustworthiness_score
rule_based,target_shift,0.03,1.0,-5.666666666666667,0.01709658767498468,50.0,0.12090540428956349,0.174909641345342,0.0,0.0,3,1.0,0.9462676942429047,1.0,1.0,0.0,0.6365669235607262
rule_based_recovery,action_delay,0.0,0.0,-50.0,0.15319911644025708,50.0,0.0,0.0,0.0,1.0,3,0.0,0.7277168995781234,0.0,1.0,1.0,0.5819292248945308
rule_based_recovery,action_noise,0.05,1.0,-5.666666666666667,0.010680563696312055,50.0,0.13146501779556274,0.1661538928747177,0.0,0.6666666666666666,3,1.0,0.9556319771878117,1.0,1.0,0.6666666666666666,0.8722413276302863
rule_based_recovery,action_scale,0.5,1.0,-7.666666666666667,0.007696894842016207,50.0,0.018399133036533993,0.13391858339309692,0.0,1.0,3,1.0,0.9827674039563297,1.0,1.0,1.0,0.9956918509890824
rule_based_recovery,sensor_noise,0.01,1.0,-6.0,0.012482214827955848,50.0,0.16625705361366272,0.18429422875245413,0.0,0.0,3,1.0,0.9457116918860113,1.0,1.0,0.0,0.6364279229715029
rule_based_recovery,sensor_noise,0.05,1.0,-15.333333333333334,0.02755997250676748,50.0,0.8781487941741943,0.6233386596043905,0.0,1.0,3,1.0,0.7814507147019605,1.0,1.0,1.0,0.9453626786754902
rule_based_recovery,target_shift,0.03,1.0,-5.666666666666667,0.010239978481965112,50.0,0.1309469739596049,0.18250352144241333,0.0,0.0,3,1.0,0.9565150678388354,1.0,1.0,0.0,0.6391287669597089
sac_her,action_delay,0.0,0.0,-50.0,0.15319911644025708,50.0,0.0,0.0,0.0,0.0,3,0.0,0.7277168995781234,0.0,1.0,0.0,0.23192922489453083
sac_her,action_noise,0.05,1.0,-1.6666666666666667,0.01542167323236177,50.0,0.19147101912463485,0.676586914059035,1.0,0.0,3,1.0,0.9356186462856404,1.0,0.0,0.0,0.5839046615714101
sac_her,action_scale,0.5,1.0,-1.6666666666666667,0.016770255668488426,50.0,0.08616215984026591,0.8677765130996704,1.0,0.0,3,1.0,0.9535564512196893,1.0,0.0,0.0,0.5883891128049223
sac_her,clean,0.0,1.0,-1.6666666666666667,0.016715970176540387,50.0,0.040039158115784325,0.6658966143925985,1.0,0.0,3,1.0,0.9625590750954516,1.0,0.0,1.0,0.9406397687738629
sac_her,sensor_noise,0.01,1.0,-2.0,0.01581121729507678,50.0,1.3794169028600056,1.1410032510757446,1.0,0.0,3,1.0,0.7055393670253775,1.0,0.0,0.0,0.5263848417563444
sac_her,sensor_noise,0.05,1.0,-28.666666666666668,0.043594944883398434,50.0,2.014449119567871,1.6401224533716838,1.0,0.0,3,1.0,0.533537101680995,1.0,0.0,0.0,0.48338427542024875
sac_her,target_shift,0.03,1.0,-1.6666666666666667,0.023281047116462002,50.0,0.7276930610338846,0.8833157022794088,1.0,0.0,3,1.0,0.8181080297870862,1.0,0.0,0.0,0.5545270074467715
sac_her_recovery,action_delay,0.0,0.0,-50.0,0.15319911644025708,50.0,0.0,0.0,0.0,1.0,3,0.0,0.7277168995781234,0.0,1.0,1.0,0.5819292248945308
sac_her_recovery,action_noise,0.05,1.0,-2.0,0.016828393981589106,50.0,0.21235334873199463,0.6473755141099294,1.0,1.0,3,1.0,0.92908617759268,1.0,0.0,1.0,0.93227154439817
sac_her_recovery,action_scale,0.5,1.0,-4.0,0.01657750905860469,50.0,0.036821857715646424,0.6079458395640055,0.0,1.0,3,1.0,0.9634264101749739,1.0,1.0,1.0,0.9908566025437435
sac_her_recovery,sensor_noise,0.01,1.0,-3.0,0.024010526045416637,50.0,1.4073192675908406,1.154439131418864,1.0,0.0,3,1.0,0.6855787924300251,1.0,0.0,0.0,0.5213946981075063
sac_her_recovery,sensor_noise,0.05,1.0,-34.0,0.0347640879868534,50.0,2.071514447530111,1.5737566550572712,1.0,1.0,3,1.0,0.5382132620582659,1.0,0.0,1.0,0.8345533155145665
sac_her_recovery,target_shift,0.03,1.0,-1.6666666666666667,0.021851571656439625,50.0,0.721182644367218,0.8677703936894735,1.0,0.0,3,1.0,0.8219057898742135,1.0,0.0,0.0,0.5554764474685534
