method,condition,attack_level,success_rate,avg_reward,final_distance,avg_episode_length,action_smoothness,action_magnitude,safety_violation_rate,recovery_rate,n_seeds,reliability_score,robustness_score,cyber_resilience_score,safety_score,recovery_score,trustworthiness_score
rule_based,action_delay,0.0,0.0,-50.0,0.153199116440257,50.0,0.0,0.0,0.0,0.0,3,0.0,0.7277168995781234,0.0,1.0,0.0,0.2319292248945308
rule_based,action_noise,0.05,1.0,-6.333333333333333,0.0110835877868248,50.0,0.1378953381583757,0.1714981151011493,0.0,0.0,3,1.0,0.9536740108334292,1.0,1.0,0.0,0.6384185027083573
rule_based,action_scale,0.5,1.0,-3.6666666666666665,0.0076961654110753,50.0,0.0227953176945447,0.1389176746209462,0.0,0.0,3,1.0,0.9819198171607392,1.0,1.0,0.0,0.6454799542901849
rule_based,clean,0.0,1.0,-5.666666666666667,0.0079563763377911,50.0,0.0153414576003948,0.1198311001062393,0.0,0.0,3,1.0,0.98289664677301,1.0,1.0,1.0,0.9957241616932524
rule_based,sensor_noise,0.01,1.0,-6.0,0.0112969175239968,50.0,0.1653603017330169,0.188896710673968,0.0,0.0,3,1.0,0.9479914973644072,1.0,1.0,0.0,0.6369978743411019
rule_based,sensor_noise,0.05,1.0,-9.0,0.0338269719219734,50.0,0.847205638885498,0.6328607400258383,0.0,0.0,3,1.0,0.7762872643926686,1.0,1.0,0.0,0.5940718160981672
rule_based,target_shift,0.03,1.0,-5.666666666666667,0.0170965876749846,50.0,0.1209054042895634,0.174909641345342,0.0,0.0,3,1.0,0.9462676942429048,1.0,1.0,0.0,0.6365669235607262
rule_based_recovery,action_delay,0.0,0.0,-50.0,0.153199116440257,50.0,0.0,0.0,0.0,1.0,3,0.0,0.7277168995781234,0.0,1.0,1.0,0.5819292248945308
rule_based_recovery,action_noise,0.05,1.0,-5.666666666666667,0.010680563696312,50.0,0.1314650177955627,0.1661538928747177,0.0,0.6666666666666666,3,1.0,0.9556319771878116,1.0,1.0,0.6666666666666666,0.8722413276302863
rule_based_recovery,action_scale,0.5,1.0,-7.666666666666667,0.0076968948420162,50.0,0.0183991330365339,0.1339185833930969,0.0,1.0,3,1.0,0.9827674039563296,1.0,1.0,1.0,0.9956918509890824
rule_based_recovery,sensor_noise,0.01,1.0,-6.0,0.0124822148279558,50.0,0.1662570536136627,0.1842942287524541,0.0,0.0,3,1.0,0.9457116918860112,1.0,1.0,0.0,0.6364279229715029
rule_based_recovery,sensor_noise,0.05,1.0,-15.333333333333334,0.0275599725067674,50.0,0.8781487941741943,0.6233386596043905,0.0,1.0,3,1.0,0.7814507147019605,1.0,1.0,1.0,0.9453626786754902
rule_based_recovery,target_shift,0.03,1.0,-5.666666666666667,0.0102399784819651,50.0,0.1309469739596049,0.1825035214424133,0.0,0.0,3,1.0,0.9565150678388354,1.0,1.0,0.0,0.6391287669597089
sac_her,action_delay,0.0,0.0,-50.0,0.153199116440257,50.0,0.0,0.0,0.0,0.0,3,0.0,0.7277168995781234,0.0,1.0,0.0,0.2319292248945308
sac_her,action_noise,0.05,1.0,-1.6666666666666667,0.0154216732323617,50.0,0.1914710191246348,0.676586914059035,1.0,0.0,3,1.0,0.9356186462856404,1.0,0.0,0.0,0.5839046615714101
sac_her,action_scale,0.5,1.0,-1.6666666666666667,0.0167702556684884,50.0,0.0861621598402659,0.8677765130996704,1.0,0.0,3,1.0,0.9535564512196892,1.0,0.0,0.0,0.5883891128049223
sac_her,clean,0.0,1.0,-1.6666666666666667,0.0167159701765403,50.0,0.0400391581157843,0.6658966143925985,1.0,0.0,3,1.0,0.9625590750954516,1.0,0.0,1.0,0.9406397687738628
sac_her,sensor_noise,0.01,1.0,-2.0,0.0158112172950767,50.0,1.3794169028600056,1.1410032510757446,1.0,0.0,3,1.0,0.7055393670253775,1.0,0.0,0.0,0.5263848417563444
sac_her,sensor_noise,0.05,1.0,-28.666666666666668,0.0435949448833984,50.0,2.014449119567871,1.6401224533716838,1.0,0.0,3,1.0,0.533537101680995,1.0,0.0,0.0,0.4833842754202487
sac_her,target_shift,0.03,1.0,-1.6666666666666667,0.023281047116462,50.0,0.7276930610338846,0.8833157022794088,1.0,0.0,3,1.0,0.8181080297870862,1.0,0.0,0.0,0.5545270074467715
sac_her_recovery,action_delay,0.0,0.0,-50.0,0.153199116440257,50.0,0.0,0.0,0.0,1.0,3,0.0,0.7277168995781234,0.0,1.0,1.0,0.5819292248945308
sac_her_recovery,action_noise,0.05,1.0,-2.0,0.0168283939815891,50.0,0.2123533487319946,0.6473755141099294,1.0,1.0,3,1.0,0.92908617759268,1.0,0.0,1.0,0.93227154439817
sac_her_recovery,action_scale,0.5,1.0,-4.0,0.0165775090586046,50.0,0.0368218577156464,0.6079458395640055,0.0,1.0,3,1.0,0.963426410174974,1.0,1.0,1.0,0.9908566025437436
sac_her_recovery,sensor_noise,0.01,1.0,-3.0,0.0240105260454166,50.0,1.4073192675908406,1.154439131418864,1.0,0.0,3,1.0,0.6855787924300251,1.0,0.0,0.0,0.5213946981075063
sac_her_recovery,sensor_noise,0.05,1.0,-34.0,0.0347640879868534,50.0,2.071514447530111,1.5737566550572712,1.0,1.0,3,1.0,0.5382132620582659,1.0,0.0,1.0,0.8345533155145665
sac_her_recovery,target_shift,0.03,1.0,-1.6666666666666667,0.0218515716564396,50.0,0.721182644367218,0.8677703936894735,1.0,0.0,3,1.0,0.8219057898742135,1.0,0.0,0.0,0.5554764474685534
sac_plain,action_noise,0.05,0.0,-50.0,0.1317036147678943,50.0,0.9661825441617511,1.0431497672335692,0.0,0.0,3,0.0,0.1931302052689936,0.0,1.0,0.0,0.0982825513172484
sac_plain,action_scale,0.5,0.0,-50.0,0.1261536640722997,50.0,1.420491836965084,1.3302872975667317,0.6666666666666666,0.0,3,0.0,0.11072396481316345,0.0,0.33333333333333337,0.0,0.044347657869957535
sac_plain,clean,0.0,0.0,-50.0,0.1278733059531532,50.0,0.8917936819295088,1.0290873845418294,0.0,0.0,3,0.0,0.22748146976012332,0.0,1.0,1.0,0.45687036744003084
sac_plain,sensor_noise,0.01,0.0,-50.0,0.11886112690336138,50.0,1.0171421368916829,1.0580119689305623,0.0,0.0,3,0.0,0.23767040559641278,0.0,1.0,0.0,0.1094176013991032
sac_plain,sensor_noise,0.05,0.0,-50.0,0.12004020935420993,50.0,1.7010037104288738,1.3615930080413818,1.0,0.0,3,0.0,0.07166725396318709,0.0,0.0,0.0,0.01791681349079677
sac_plain,target_shift,0.03,0.0,-50.0,0.11970450275982535,50.0,0.8995532542467117,1.030098557472229,0.0,0.0,3,0.0,0.26161010339707164,0.0,1.0,0.0,0.11540252584926791
sac_plain_recovery,action_noise,0.05,0.0,-50.0,0.1280439595503998,50.0,0.8974693715572357,0.9883832335472107,0.0,1.0,3,0.0,0.22539570403493467,0.0,1.0,1.0,0.45634892600873367
sac_plain_recovery,action_scale,0.5,0.0,-50.0,0.13632341768099965,50.0,0.4314054151376088,0.7490089734395345,0.0,1.0,3,0.0,0.29855273977530866,0.0,1.0,1.0,0.47463818494382715
sac_plain_recovery,sensor_noise,0.01,0.0,-50.0,0.12237073651065204,50.0,1.1864262024561565,1.1172161102294922,0.3333333333333333,0.0,3,0.0,0.1824155260216626,0.0,0.6666666666666667,0.0,0.07893721483874899
sac_plain_recovery,sensor_noise,0.05,0.3333333333333333,-47.0,0.1307868145946572,50.0,1.539049506187439,1.1943044265111287,0.6666666666666666,1.0,3,0.3333333333333333,0.06245262655896251,0.3333333333333333,0.33333333333333337,1.0,0.49894648997307395
sac_plain_recovery,target_shift,0.03,0.0,-50.0,0.12843260128601053,50.0,0.9192646915713946,1.032179594039917,0.0,0.0,3,0.0,0.21855989136836068,0.0,1.0,0.0,0.10463997284209017
