method,condition,seed,attack_level,timestep,reward,distance_to_goal,is_success,action_norm,intended_action_norm,safety_violation,recovery_triggered
rule_based_recovery,sensor_noise,2,0.05,37,-0.0,0.0311948283494167,1.0,0.4446658790111542,0.4446658790111542,0.0,0.0
rule_based_recovery,sensor_noise,2,0.05,38,-0.0,0.0227482829867159,1.0,0.5990989804267883,0.5990989804267883,0.0,0.0
rule_based_recovery,sensor_noise,2,0.05,39,-0.0,0.0281323153311526,1.0,0.4092825055122375,0.4092825055122375,0.0,0.0
rule_based_recovery,sensor_noise,2,0.05,40,-1.0,0.0509465451378422,0.0,0.9012656211853028,0.9012656211853028,0.0,0.0
rule_based_recovery,sensor_noise,2,0.05,41,-0.0,0.0498925893721936,1.0,0.2335086613893509,0.2335086613893509,0.0,0.0
rule_based_recovery,sensor_noise,2,0.05,42,-0.0,0.0429848024515179,1.0,0.2357705682516098,0.2357705682516098,0.0,0.0
rule_based_recovery,sensor_noise,2,0.05,43,-0.0,0.0413134226844253,1.0,0.115176685154438,0.115176685154438,0.0,0.0
rule_based_recovery,sensor_noise,2,0.05,44,-0.0,0.0427641992077399,1.0,0.3240635693073272,0.3240635693073272,0.0,0.0
rule_based_recovery,sensor_noise,2,0.05,45,-0.0,0.0421484293821729,1.0,0.3923949599266052,0.3923949599266052,0.0,0.0
rule_based_recovery,sensor_noise,2,0.05,46,-0.0,0.0316570206670852,1.0,0.4197803437709808,0.4197803437709808,0.0,0.0
rule_based_recovery,sensor_noise,2,0.05,47,-0.0,0.0350223710036761,1.0,0.5163986086845398,0.5163986086845398,0.0,0.0
rule_based_recovery,sensor_noise,2,0.05,48,-0.0,0.036197429518127,1.0,0.9369879961013794,0.9369879961013794,0.0,0.0
rule_based_recovery,sensor_noise,2,0.05,49,-0.0,0.0301176016435509,1.0,0.4100666642189026,0.4100666642189026,0.0,0.0
rule_based,action_noise,2,0.05,0,-1.0,0.1141397156452561,0.0,0.6299893234401158,0.6643657684326172,0.0,0.0
rule_based,action_noise,2,0.05,1,-1.0,0.0965239400857114,0.0,0.5252726568077029,0.5706987977027893,0.0,0.0
rule_based,action_noise,2,0.05,2,-1.0,0.0814588916842715,0.0,0.461282972765733,0.4826198518276214,0.0,0.0
rule_based,action_noise,2,0.05,3,-1.0,0.0694261436218931,0.0,0.3660476287291139,0.4072944521903991,0.0,0.0
rule_based,action_noise,2,0.05,4,-1.0,0.0596112024295568,0.0,0.3122367425838305,0.3471307456493377,0.0,0.0
rule_based,action_noise,2,0.05,5,-1.0,0.0503180939092162,0.0,0.287051732324113,0.2980560064315796,0.0,0.0
rule_based,action_noise,2,0.05,6,-0.0,0.0434060549510733,1.0,0.2264443726800974,0.2515906989574432,0.0,0.0
rule_based,action_noise,2,0.05,7,-0.0,0.0345022112284766,1.0,0.3274409102205319,0.2170304656028747,0.0,0.0
rule_based,action_noise,2,0.05,8,-0.0,0.0284881216226818,1.0,0.2077751639120705,0.1725110858678817,0.0,0.0
rule_based,action_noise,2,0.05,9,-0.0,0.0235850297272589,1.0,0.1717818483155845,0.1424407213926315,0.0,0.0
rule_based,action_noise,2,0.05,10,-0.0,0.0189952089093242,1.0,0.1447816207428431,0.1179251298308372,0.0,0.0
rule_based,action_noise,2,0.05,11,-0.0,0.0138981294318248,1.0,0.2195147772613983,0.0949759632349014,0.0,0.0
rule_based,action_noise,2,0.05,12,-0.0,0.0122763384242665,1.0,0.0917664434831244,0.0694906264543533,0.0,0.0
rule_based,action_noise,2,0.05,13,-0.0,0.0113422449564318,1.0,0.0713939782823931,0.0613817125558853,0.0,0.0
rule_based,action_noise,2,0.05,14,-0.0,0.0089137011462785,1.0,0.1104710055119546,0.0567112080752849,0.0,0.0
rule_based,action_noise,2,0.05,15,-0.0,0.0104620588871379,1.0,0.1067366712538327,0.0445685572922229,0.0,0.0
rule_based,action_noise,2,0.05,16,-0.0,0.0073635065448329,1.0,0.1152603233287847,0.0523101910948753,0.0,0.0
rule_based,action_noise,2,0.05,17,-0.0,0.0061120828514927,1.0,0.1137863990996701,0.0368175022304058,0.0,0.0
rule_based,action_noise,2,0.05,18,-0.0,0.0056031240658101,1.0,0.0543319547748773,0.0305601619184017,0.0,0.0
rule_based,action_noise,2,0.05,19,-0.0,0.0037264904018207,1.0,0.1166903413660047,0.0280153471976518,0.0,0.0
rule_based,action_noise,2,0.05,20,-0.0,0.0034092399287825,1.0,0.0744539368248453,0.0186323411762714,0.0,0.0
rule_based,action_noise,2,0.05,21,-0.0,0.0043316259623039,1.0,0.0808833284286653,0.0170459784567356,0.0,0.0
rule_based,action_noise,2,0.05,22,-0.0,0.0076443803029405,1.0,0.1206776694192376,0.0216578114777803,0.0,0.0
rule_based,action_noise,2,0.05,23,-0.0,0.0068437745145831,1.0,0.0725514952040232,0.0382217280566692,0.0,0.0
rule_based,action_noise,2,0.05,24,-0.0,0.00864296201003,1.0,0.1617763071268055,0.0342187546193599,0.0,0.0
rule_based,action_noise,2,0.05,25,-0.0,0.0078486570162071,1.0,0.1060863275447965,0.0432145558297634,0.0,0.0
rule_based,action_noise,2,0.05,26,-0.0,0.0063888151999701,1.0,0.101311916171329,0.0392429754137992,0.0,0.0
rule_based,action_noise,2,0.05,27,-0.0,0.0059124612268775,1.0,0.1177514946958949,0.031943891197443,0.0,0.0
rule_based,action_noise,2,0.05,28,-0.0,0.0060021932348733,1.0,0.0637993465291131,0.0295621044933795,0.0,0.0
rule_based,action_noise,2,0.05,29,-0.0,0.0069320214359662,1.0,0.042584598101171,0.0300108231604099,0.0,0.0
rule_based,action_noise,2,0.05,30,-0.0,0.0075181174026697,1.0,0.036315639053311,0.0346601828932762,0.0,0.0
rule_based,action_noise,2,0.05,31,-0.0,0.0092538211500527,1.0,0.068549571927323,0.0375906340777874,0.0,0.0
rule_based,action_noise,2,0.05,32,-0.0,0.0064428416548032,1.0,0.1061524082352477,0.046268705278635,0.0,0.0
rule_based,action_noise,2,0.05,33,-0.0,0.0057905060744724,1.0,0.116170445834108,0.032214093953371,0.0,0.0
rule_based,action_noise,2,0.05,34,-0.0,0.0053548633218769,1.0,0.1052358448336594,0.0289524029940366,0.0,0.0
rule_based,action_noise,2,0.05,35,-0.0,0.0047013947007847,1.0,0.0311685036152732,0.026774363592267,0.0,0.0
rule_based,action_noise,2,0.05,36,-0.0,0.0032144866888478,1.0,0.0960669337676584,0.0235067196190357,0.0,0.0
rule_based,action_noise,2,0.05,37,-0.0,0.0021886252533443,1.0,0.0831533771886747,0.0160722415894269,0.0,0.0
rule_based,action_noise,2,0.05,38,-0.0,0.0044578265917509,1.0,0.128034590278007,0.010942954570055,0.0,0.0
rule_based,action_noise,2,0.05,39,-0.0,0.0036562952847162,1.0,0.0580159557730858,0.0222890712320804,0.0,0.0
rule_based,action_noise,2,0.05,40,-0.0,0.0040442364040031,1.0,0.1526197703822056,0.018281377851963,0.0,0.0
rule_based,action_noise,2,0.05,41,-0.0,0.0019739221370882,1.0,0.0953925841696864,0.0202215630561113,0.0,0.0
rule_based,action_noise,2,0.05,42,-0.0,0.0024151587276647,1.0,0.0956578775709124,0.0098697179928421,0.0,0.0
rule_based,action_noise,2,0.05,43,-0.0,0.0036388356027408,1.0,0.0928252706360272,0.0120760155841708,0.0,0.0
rule_based,action_noise,2,0.05,44,-0.0,0.0036653682641544,1.0,0.0795108381528642,0.0181938186287879,0.0,0.0
rule_based,action_noise,2,0.05,45,-0.0,0.0037470616606113,1.0,0.0932772480258303,0.0183269437402486,0.0,0.0
rule_based,action_noise,2,0.05,46,-0.0,0.0035060151071506,1.0,0.0745944214621268,0.0187351424247026,0.0,0.0
rule_based,action_noise,2,0.05,47,-0.0,0.0028076261704709,1.0,0.0907860223010144,0.0175299141556024,0.0,0.0
rule_based,action_noise,2,0.05,48,-0.0,0.0056240462583299,1.0,0.1380652878401621,0.0140380775555968,0.0,0.0
rule_based,action_noise,2,0.05,49,-0.0,0.0047755174633017,1.0,0.1248630990702816,0.0281200930476188,0.0,0.0
rule_based_recovery,action_noise,2,0.05,0,-1.0,0.1090504726423454,0.0,0.7846490740776062,0.6643657684326172,0.0,0.0
rule_based_recovery,action_noise,2,0.05,1,-1.0,0.0894101078028569,0.0,0.5808644890785217,0.5452522039413452,0.0,0.0
rule_based_recovery,action_noise,2,0.05,2,-1.0,0.0740206443791398,0.0,0.4737210273742676,0.4470506906509399,0.0,0.0
