method,condition,attack_level,success_rate,avg_reward,final_distance,avg_episode_length,action_smoothness,action_magnitude,safety_violation_rate,recovery_rate,n_seeds,reliability_score,robustness_score,cyber_resilience_score,safety_score,recovery_score,trustworthiness_score
rule_based,sensor_bias,0.1,1.0,-5.233333333333333,0.002770256818949397,50.0,0.014720749435946345,0.09728330771128336,0.0,0.0,30,1.0,0.9943209490228353,1.0,1.0,0.0,0.6485802372557089
rule_based,sensor_dropout,0.0,1.0,-5.233333333333333,0.002770256818949397,50.0,0.014720749435946345,0.09728330771128336,0.0,0.0,30,1.0,0.9943209490228353,1.0,1.0,0.0,0.6485802372557089
rule_based_recovery,goal_spoof_immediate,0.1,0.3,-43.1,0.09458054182631818,50.0,0.016524046007543803,0.1300756695990761,0.0,0.13333333333333333,30,0.3,0.9309696711318525,0.3,1.0,0.13333333333333333,0.4344090844496298
rule_based_recovery,goal_spoof_midep,0.1,1.0,-26.2,0.08134544660406344,50.0,0.03144536272933086,0.16259658535321553,0.0,0.0,30,1.0,0.9362024155621875,1.0,1.0,0.0,0.6340506038905469
rule_based_recovery,sensor_bias,0.1,1.0,-5.233333333333333,0.002770256818949397,50.0,0.014720749435946345,0.09728330771128336,0.0,0.0,30,1.0,0.9943209490228353,1.0,1.0,0.0,0.6485802372557089
rule_based_recovery,sensor_dropout,0.0,1.0,-5.233333333333333,0.002770256818949397,50.0,0.014720749435946345,0.09728330771128336,0.0,0.0,30,1.0,0.9943209490228353,1.0,1.0,0.0,0.6485802372557089
sac_her,goal_spoof_immediate,0.1,0.23333333333333334,-46.5,0.08947950744036096,50.0,0.04852172570923964,0.4136108309030533,0.8333333333333334,0.0,30,0.23333333333333334,0.9262441626130598,0.23333333333333334,0.16666666666666663,0.0,0.32156104065326496
sac_her,goal_spoof_midep,0.1,1.0,-27.033333333333335,0.09419832017195122,50.0,0.1122394805153211,0.44392682711283366,0.8666666666666667,0.0,30,1.0,0.9066439783015046,1.0,0.1333333333333333,0.0,0.5833276612420428
sac_her,sensor_bias,0.1,0.3,-45.4,0.18296121348726996,50.0,0.05308083146810531,0.6668807412187259,0.9,0.0,30,0.3,0.8610400818519908,0.3,0.09999999999999998,0.0,0.3252600204629977
sac_her,sensor_dropout,0.0,0.03333333333333333,-49.96666666666667,0.8759402723472308,50.0,0.012720490650584301,1.836780273914337,1.0,0.0,30,0.03333333333333333,0.3967323436803614,0.03333333333333333,0.0,0.0,0.11084975258675701
sac_her_recovery,goal_spoof_immediate,0.1,0.3,-44.9,0.10025891676764775,50.0,0.0490256150563558,0.4902556044360002,0.8,0.2,30,0.3,0.9187310623486997,0.3,0.19999999999999996,0.2,0.414682765587175
sac_her_recovery,goal_spoof_midep,0.1,1.0,-26.5,0.08982329761267896,50.0,0.11104814112186431,0.4569622814655304,1.0,0.0,30,1.0,0.9099468062494491,1.0,0.0,0.0,0.5774867015623623
sac_her_recovery,sensor_bias,0.1,0.2,-46.43333333333333,0.17774563881241842,50.0,0.05069439945121606,0.4899217014511426,0.8666666666666667,0.3,30,0.2,0.8652256666439704,0.2,0.1333333333333333,0.3,0.39797308332765924
sac_her_recovery,sensor_dropout,0.0,0.03333333333333333,-49.96666666666667,0.7509430701697292,50.0,0.022628140884141126,1.01432244181633,1.0,1.0,30,0.03333333333333333,0.47980761332407024,0.03333333333333333,0.0,1.0,0.4816185699976842
sac_plain,goal_spoof_immediate,0.1,0.2,-46.7,0.09437923855115793,50.0,0.04967240455249945,0.44574029197295506,0.9,0.0,30,0.2,0.9225923656760676,0.2,0.09999999999999998,0.0,0.3056480914190169
sac_plain,goal_spoof_midep,0.1,1.0,-30.733333333333334,0.1024984703663211,50.0,0.11526674230893454,0.5000798712174098,0.9333333333333333,0.0,30,1.0,0.9001809092975068,1.0,0.06666666666666665,0.0,0.57837856065771
sac_plain,sensor_bias,0.1,0.16666666666666666,-48.03333333333333,0.17294149121283012,50.0,0.05459273109833399,0.7134315639734268,0.9333333333333333,0.0,30,0.16666666666666666,0.8675149945226219,0.16666666666666666,0.06666666666666665,0.0,0.2785454152973222
sac_plain,sensor_dropout,0.0,0.03333333333333333,-49.96666666666667,0.8759402723472308,50.0,0.012720490650584301,1.836780273914337,1.0,0.0,30,0.03333333333333333,0.3967323436803614,0.03333333333333333,0.0,0.0,0.11084975258675701
sac_plain_recovery,goal_spoof_immediate,0.1,0.26666666666666666,-46.53333333333333,0.09890032787697375,50.0,0.048249183657268685,0.4086305762330691,0.7666666666666667,0.03333333333333333,30,0.26666666666666666,0.9198611168514289,0.26666666666666666,0.23333333333333328,0.03333333333333333,0.34663194587952384
sac_plain_recovery,goal_spoof_midep,0.1,1.0,-27.833333333333332,0.09598177797085668,50.0,0.11511057888468107,0.4735313268999259,0.9333333333333333,0.0,30,1.0,0.9046848170562278,1.0,0.06666666666666665,0.0,0.5795045375973903
sac_plain_recovery,sensor_bias,0.1,0.3,-44.96666666666667,0.15931540151882928,50.0,0.05318089798092842,0.4852201414604982,0.9,0.16666666666666666,30,0.3,0.8772112425959686,0.3,0.09999999999999998,0.16666666666666666,0.3876361439823255
sac_plain_recovery,sensor_dropout,0.0,0.03333333333333333,-49.96666666666667,0.7509430701697292,50.0,0.022628140884141126,1.01432244181633,1.0,1.0,30,0.03333333333333333,0.47980761332407024,0.03333333333333333,0.0,1.0,0.4816185699976842
